"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT07","WT08"
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-01","6.93",,"0.00",,,"91","103","78","  290","  290","18.1","23.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-02","7.61",,"0.00",,,"93","106","80","  280","  270","19.9","25.1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-03","9.62",,"0.00",,,"94","106","81","  290","  270","23.9","29.1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-04","9.17",,"0.00",,,"95","108","81","  280","  270","21.9","29.1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-05","9.17",,"0.00",,,"95","108","80","  270","  270","23.9","31.1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-06","9.84",,"0.00",,,"93","106","77","  210","  210","23.0","30.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-07","9.40",,"0.00",,,"90","104","74","  270","  260","23.0","29.1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-08","7.16",,"0.00",,,"88","99","74","  180","  180","16.1","21.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-09","5.82",,"0.00",,,"89","103","76","  280","  340","15.0","23.9",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-10","7.16",,"0.00",,,"90","101","76","  280","  270","17.0","21.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-11","5.14",,"0.00",,,"90","104","76","  300","  310","14.1","19.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-12","4.92",,"0.00",,,"92","110","75","  280","  270","12.1","16.1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-13","7.38",,"0.00",,,"97","113","79","  270","  270","19.9","23.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-14","6.49",,"0.00",,,"100","113","82","  270","  270","16.1","21.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-15","5.59",,"0.00",,,"101","115","85","   50","   50","19.9","23.9",,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-16","6.93",,"0.00",,,"103","115","90","  290","  140","16.1","23.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-17","8.50",,"0.00",,,"105","118","91","  180","  190","19.9","25.1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-18","8.72",,"0.00",,,"105","117","92","  270","  270","16.1","21.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-19","9.62",,"0.00",,,"105","116","91","  280","  280","23.9","30.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-20","11.63",,"0.00",,,"104","115","89","  280","  280","25.1","31.1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-21","10.51",,"0.00",,,"99","109","88","  280","  280","21.0","25.9",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-22","9.62",,"0.00",,,"99","110","87","  270","  360","21.9","33.1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-23","7.61",,"0.17",,,"90","95","78","  160","  190","23.9","32.0",,,"    1",,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-24","6.71",,"0.00",,,"88","104","77","  320","  280","23.9","33.1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-25","6.49",,"0.00",,,"95","107","83","  300","  280","19.9","27.1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-26","5.82",,"0.00",,,"97","108","85","  250","  240","13.0","21.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-27","6.71",,"0.00",,,"100","113","85","  320","  320","21.0","27.1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-28","10.51",,"0.00",,,"101","109","89","  110","  120","21.0","28.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-29","10.51",,"0.00",,,"96","105","86","   60","   70","21.0","28.0",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2021-06-30","8.95",,"0.00",,,"97","106","89","   60","   70","31.1","38.9",,,,,
